2017/03/01__10:56:27:049,653152464,2017/03/01__10:56:27,1196.41,4.0,sell,2017/03/01__10:56:27,null
2017/03/01__10:56:49:042,653152903,2017/03/01__10:56:48,1196.41,12.0,buy,2017/03/01__10:56:48,null
2017/03/01__10:57:19:822,653153499,2017/03/01__10:57:19,1196.42,10.0,sell,2017/03/01__10:57:19,null
2017/03/01__10:57:25:250,653153590,2017/03/01__10:57:24,1196.28,4.0,sell,2017/03/01__10:57:24,null
2017/03/01__10:57:27:359,653153632,2017/03/01__10:57:26,1196.28,16.0,sell,2017/03/01__10:57:26,null
2017/03/01__10:57:32:211,653153756,2017/03/01__10:57:32,1196.28,2.0,sell,2017/03/01__10:57:32,null
2017/03/01__10:57:47:888,653154019,2017/03/01__10:57:47,1196.46,16.0,sell,2017/03/01__10:57:47,null
2017/03/01__10:57:58:139,653154215,2017/03/01__10:57:57,1196.31,6.0,sell,2017/03/01__10:57:57,null
2017/03/01__10:58:07:190,653154400,2017/03/01__10:58:07,1196.3,2.0,sell,2017/03/01__10:58:07,null
2017/03/01__10:58:26:496,653154821,2017/03/01__10:58:26,1196.5,2.0,sell,2017/03/01__10:58:26,null
2017/03/01__10:58:28:605,653154863,2017/03/01__10:58:28,1196.4,6.0,buy,2017/03/01__10:58:28,null
2017/03/01__10:58:50:040,653155284,2017/03/01__10:58:49,1196.3,4.0,sell,2017/03/01__10:58:49,null
2017/03/01__10:58:50:040,653155309,2017/03/01__10:58:50,1196.3,94.0,sell,2017/03/01__10:58:50,null
2017/03/01__10:58:58:210,653155521,2017/03/01__10:58:58,1195.13,356.0,sell,2017/03/01__10:58:58,null
2017/03/01__10:58:59:410,653155540,2017/03/01__10:58:58,1196.3,20.0,buy,2017/03/01__10:58:58,null
2017/03/01__10:59:02:419,653155628,2017/03/01__10:59:01,1195.73,14.0,buy,2017/03/01__10:59:01,null
2017/03/01__10:59:19:903,653156108,2017/03/01__10:59:19,1196.13,24.0,buy,2017/03/01__10:59:19,null
2017/03/01__10:59:21:711,653156166,2017/03/01__10:59:21,1195.12,736.0,sell,2017/03/01__10:59:21,null
2017/03/01__10:59:23:827,653156214,2017/03/01__10:59:23,1195.28,2.0,sell,2017/03/01__10:59:23,null
2017/03/01__10:59:27:743,653156326,2017/03/01__10:59:28,1195.12,3890.0,sell,2017/03/01__10:59:28,null
2017/03/01__10:59:29:248,653156354,2017/03/01__10:59:28,1196.07,6.0,buy,2017/03/01__10:59:28,null
2017/03/01__10:59:30:174,653156413,2017/03/01__10:59:30,1196.06,4.0,buy,2017/03/01__10:59:30,null
2017/03/01__10:59:32:267,653156465,2017/03/01__10:59:31,1194.99,4.0,buy,2017/03/01__10:59:31,null
2017/03/01__10:59:32:267,653156473,2017/03/01__10:59:32,1194.83,40.0,sell,2017/03/01__10:59:32,null
2017/03/01__10:59:33:261,653156517,2017/03/01__10:59:33,1194.83,4.0,buy,2017/03/01__10:59:33,null
2017/03/01__10:59:34:106,653156526,2017/03/01__10:59:33,1194.99,2.0,buy,2017/03/01__10:59:33,null
2017/03/01__10:59:35:279,653156576,2017/03/01__10:59:35,1194.84,2.0,buy,2017/03/01__10:59:35,null
2017/03/01__10:59:37:390,653156618,2017/03/01__10:59:36,1194.7,6.0,sell,2017/03/01__10:59:36,null
2017/03/01__10:59:37:390,653156655,2017/03/01__10:59:37,1194.7,56.0,buy,2017/03/01__10:59:37,null
2017/03/01__10:59:38:295,653156659,2017/03/01__10:59:37,1194.7,2.0,buy,2017/03/01__10:59:37,null
2017/03/01__10:59:42:513,653156790,2017/03/01__10:59:41,1194.7,18.0,buy,2017/03/01__10:59:41,null
2017/03/01__11:00:12:368,653157422,2017/03/01__11:00:12,1194.68,16.0,sell,2017/03/01__11:00:12,null
2017/03/01__11:00:13:285,653157444,2017/03/01__11:00:13,1194.68,4.0,sell,2017/03/01__11:00:13,null
2017/03/01__11:00:14:493,653157511,2017/03/01__11:00:14,1193.52,778.0,sell,2017/03/01__11:00:14,null
2017/03/01__11:01:05:176,653158753,2017/03/01__11:01:04,1194.51,10.0,buy,2017/03/01__11:01:04,null
2017/03/01__11:01:08:189,653158818,2017/03/01__11:01:07,1194.0,100.0,sell,2017/03/01__11:01:07,null
2017/03/01__11:01:16:331,653159026,2017/03/01__11:01:15,1194.0,18.0,sell,2017/03/01__11:01:15,null
2017/03/01__11:01:18:439,653159082,2017/03/01__11:01:18,1194.51,52.0,buy,2017/03/01__11:01:18,null
2017/03/01__11:01:19:979,653159131,2017/03/01__11:01:19,1194.48,18.0,sell,2017/03/01__11:01:19,null
2017/03/01__11:01:29:317,653159335,2017/03/01__11:01:29,1194.48,2.0,sell,2017/03/01__11:01:29,null
2017/03/01__11:01:31:754,653159372,2017/03/01__11:01:31,1194.5,18.0,buy,2017/03/01__11:01:31,null
2017/03/01__11:01:38:985,653159549,2017/03/01__11:01:37,1194.51,4.0,buy,2017/03/01__11:01:37,null
2017/03/01__11:01:42:001,653159649,2017/03/01__11:01:41,1193.76,52.0,buy,2017/03/01__11:01:41,null
2017/03/01__11:01:43:205,653159676,2017/03/01__11:01:42,1193.76,6.0,buy,2017/03/01__11:01:42,null
2017/03/01__11:01:44:112,653159697,2017/03/01__11:01:43,1194.5,2.0,buy,2017/03/01__11:01:43,null
2017/03/01__11:01:52:274,653159911,2017/03/01__11:01:51,1194.43,8.0,sell,2017/03/01__11:01:51,null
2017/03/01__11:01:54:393,653159955,2017/03/01__11:01:53,1194.46,2.0,buy,2017/03/01__11:01:53,null
2017/03/01__11:01:55:290,653159980,2017/03/01__11:01:54,1194.43,6.0,sell,2017/03/01__11:01:54,null
2017/03/01__11:01:57:402,653160039,2017/03/01__11:01:56,1194.46,18.0,buy,2017/03/01__11:01:56,null
2017/03/01__11:02:07:391,653160314,2017/03/01__11:02:06,1193.75,2.0,sell,2017/03/01__11:02:06,null
2017/03/01__11:02:07:391,653160334,2017/03/01__11:02:07,1193.74,2.0,sell,2017/03/01__11:02:07,null
2017/03/01__11:02:08:898,653160365,2017/03/01__11:02:07,1193.74,16.0,buy,2017/03/01__11:02:07,null
2017/03/01__11:02:17:642,653160600,2017/03/01__11:02:17,1194.38,4.0,buy,2017/03/01__11:02:17,null
2017/03/01__11:02:19:158,653160644,2017/03/01__11:02:17,1194.39,2.0,buy,2017/03/01__11:02:17,null
2017/03/01__11:02:19:158,653160668,2017/03/01__11:02:18,1194.39,6.0,buy,2017/03/01__11:02:18,null
2017/03/01__11:02:20:961,653160716,2017/03/01__11:02:20,1194.38,2.0,buy,2017/03/01__11:02:20,null
